restaurantID,Name,Cuisine,Is Closed,Rating,Number of Reviews,Address,InsertTime
_Qux4DSL8RDyLXu4xvBz2A,Chez Jacob,Vegetable,False,4.0,28,2479 Frederick Douglas Blvd,Sat Oct 10 06:38:36 2020
nnfJgt5uw7f-tx5HT09Bkw,Charles Pan Fried Chicken,Vegetable,False,4.0,110,2461 Frederick Douglass Blvd,Sat Oct 10 06:38:36 2020
8c3UnmA-8Qg3WYVRQDi2Wg,Lighthouse Fish Market & Restaurant,Vegetable,False,3.5,244,2451 Frederick Douglass Blvd,Sat Oct 10 06:38:36 2020
ZBuUVSietNeZ0sCD7Z7Hdg,Crispy Bamboo Village,Vegetable,False,4.0,21,2526 Frederick Douglass B,Sat Oct 10 06:38:36 2020
BcszNNiOd4IgRTPVuOWuZw,Yummy Foods Deli,Vegetable,False,1.0,1,2445 Frederick Douglass Blvd,Sat Oct 10 06:38:36 2020
HqpwiUnY7PBnCIsCxRxglA,A Taste of Seafood,Vegetable,False,4.0,115,2530 Frederick Douglass Blvd,Sat Oct 10 06:38:36 2020
2zaFer47CnuerUmTfAjJ9A,Curry-Ya,Vegetable,False,3.5,34,1467 Amsterdam Ave,Sat Oct 10 06:38:36 2020
_0MvItPbaQ3A-pP3GWHI1Q,Great China,Vegetable,False,5.0,4,1461 Amsterdam Ave,Sat Oct 10 06:38:36 2020
wK19oQSdTF6lGKsjr9fJ-A,Rai Rai Ken,Vegetable,False,3.0,83,1467 Amsterdam Ave,Sat Oct 10 06:38:36 2020
X0QdRUQC1vhVBRv7kOU35g,Baraka Buffet Restaurant,Vegetable,False,4.5,9,2546 Frederick Douglass Blvd,Sat Oct 10 06:38:36 2020
Bzprbnm51unkJqh9xtlQ7g,Abyssinia Ethiopian Restaurant,Vegetable,False,4.0,241,268 W 135th St,Sat Oct 10 06:38:36 2020
NESMnB6RYx9lPbWLLswFLA,American Legion Post 398,Vegetable,False,4.0,35,248 W 132nd St,Sat Oct 10 06:38:36 2020
FA_0DX6FwHm1Lnqz_fd9iA,Mi Casita Restaurant,Vegetable,False,2.5,39,1484 Amsterdam Ave,Sat Oct 10 06:38:36 2020
R3IrcACdEcsDr0c_b1eEng,Sushi Sushi,Vegetable,False,3.5,354,1504 Amsterdam Ave,Sat Oct 10 06:38:36 2020
3bPnaLgZwcniU8oqi6UFDQ,Makana Hawaiian BBQ & Poke,Vegetable,False,3.5,32,1502 Amsterdam Ave,Sat Oct 10 06:38:36 2020
BIsgBK_aQUbvAndI_LbprA,Fruces,Vegetable,False,5.0,29,1496 Amsterdam Ave,Sat Oct 10 06:38:36 2020
7vFjXvrKINtU3OV4TPqsJQ,Teng Dragon,Vegetable,False,5.0,4,1516 Amsterdam Ave,Sat Oct 10 06:38:36 2020
NrYmqg17jU2k5Utu6DbVQQ,Amsterdam Sushi,Vegetable,False,3.5,22,1518 Amsterdam Ave,Sat Oct 10 06:38:36 2020
7bKRWBCGHSOr6oclDuO5CA,Pepo's Pizza,Vegetable,False,3.5,18,1522 Amsterdam Ave,Sat Oct 10 06:38:36 2020
reGNiCoylNGozZTLzKyMXw,St Nicholas Express Deli,Vegetable,False,2.5,3,25 St Nicholas Ter,Sat Oct 10 06:38:36 2020
04NdwZnSFH3FXFBtwCrrAg,Home Sweet Harlem,Vegetable,False,3.5,454,1528 Amsterdam Ave,Sat Oct 10 06:38:36 2020
